Used it for,Owned for,Model Name,Visual Appeal,Reliability,Extra Features,Comfort,Maintenance cost,Value for Money
Commuting,<= 6 months,Ampere Magnus EX,4.0,5.0,,,4.0,
Commuting,<= 6 months,Ampere Magnus EX,5.0,4.0,4.0,,4.0,
Leisure,<= 6 months,Ampere Magnus EX,3.0,1.0,4.0,,,
Commuting,<= 6 months,Ampere Magnus EX,5.0,5.0,,,,
Commuting,<= 6 months,Ampere Magnus EX,5.0,4.0,4.0,,4.0,
Commuting,Never owned,Ampere Magnus EX,5.0,5.0,5.0,,4.0,
Commuting,<= 6 months,Ampere Magnus EX,5.0,5.0,5.0,,4.0,
Commuting,> 6 months,Ampere Magnus EX,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Ampere Magnus EX,5.0,3.0,2.0,,,
Commuting,<= 6 months,Ampere Magnus EX,4.0,4.0,,,,
Commuting,<= 6 months,Ampere Magnus EX,5.0,4.0,4.0,,4.0,
Commuting,<= 6 months,Ampere Magnus EX,4.0,4.0,1.0,,4.0,
Commuting,<= 6 months,Ampere Magnus EX,1.0,1.0,1.0,,,
Commuting,> 6 months,Ampere Magnus EX,1.0,1.0,1.0,,4.0,
Commuting,> 6 months,Ampere Magnus EX,4.0,5.0,4.0,,5.0,
Commuting,> 6 months,Ampere Magnus EX,5.0,5.0,5.0,,4.0,
Commuting,<= 6 months,Ampere Magnus EX,4.0,4.0,5.0,,4.0,
Leisure,Never owned,Revolt RV 300,5.0,5.0,,5.0,,
Commuting,> 6 months,Revolt RV 300,1.0,1.0,,1.0,,
Leisure,<= 6 months,Revolt RV 300,1.0,1.0,,1.0,,
Leisure,Never owned,Revolt RV 300,5.0,5.0,,5.0,,
Leisure,Never owned,Revolt RV 300,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 300,5.0,5.0,,4.0,,
Commuting,> 6 months,Hero Electric Photon,5.0,4.0,3.0,,5.0,
Commuting,<= 6 months,Hero Electric Photon,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Photon,4.0,4.0,,4.0,,2.0
Leisure,<= 6 months,Hero Electric Photon,4.0,4.0,4.0,,4.0,
Commuting,> 6 months,Hero Electric Photon,5.0,4.0,5.0,,4.0,
Commuting,<= 6 months,Hero Electric Photon,4.0,4.0,4.0,,5.0,
Commuting,<= 6 months,Hero Electric Photon,4.0,4.0,4.0,,4.0,
Commuting,> 6 months,Hero Electric Photon,3.0,2.0,1.0,,1.0,
Commuting,Never owned,Hero Electric Photon,4.0,4.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Photon,5.0,5.0,4.0,,4.0,
Commuting,<= 6 months,Hero Electric Photon,4.0,4.0,,5.0,,4.0
Commuting,<= 6 months,Hero Electric Photon,2.0,1.0,1.0,,5.0,
Commuting,<= 6 months,Hero Electric Photon,2.0,1.0,,,,
Leisure,<= 6 months,Hero Electric Photon,5.0,4.0,,4.0,,5.0
Leisure,> 6 months,Hero Electric Photon,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Photon,5.0,4.0,,5.0,,4.0
Commuting,Never owned,Hero Electric Photon,4.0,4.0,,,,
Leisure,> 6 months,Hero Electric Photon,5.0,5.0,,5.0,,4.0
Commuting,> 6 months,Hero Electric Photon,4.0,3.0,,3.0,,4.0
Commuting,<= 6 months,Hero Electric Photon,3.0,4.0,2.0,,4.0,
Commuting,> 6 months,Hero Electric Photon,5.0,5.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Photon,4.0,3.0,,5.0,,4.0
Commuting,Never owned,Hero Electric Photon,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Photon,2.0,3.0,,4.0,,3.0
Commuting,> 6 months,Hero Electric Photon,4.0,1.0,,2.0,,1.0
Commuting,<= 6 months,Hero Electric Photon,4.0,3.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Photon,5.0,5.0,,4.0,,5.0
Commuting,<= 6 months,Hero Electric Photon,4.0,3.0,,5.0,,4.0
Commuting,> 6 months,Hero Electric Photon,1.0,1.0,,4.0,,1.0
Commuting,<= 6 months,Hero Electric Photon,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Photon,4.0,5.0,,4.0,,4.0
Commuting,Never owned,Hero Electric Photon,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Photon,3.0,1.0,1.0,,2.0,
Commuting,<= 6 months,Hero Electric Photon,4.0,4.0,1.0,,4.0,
Commuting,> 6 months,Okinawa Praise,4.0,3.0,,4.0,,1.0
Commuting,<= 6 months,Okinawa Praise,5.0,3.0,3.0,,5.0,
Leisure,> 6 months,Okinawa Praise,3.0,2.0,2.0,,,
Commuting,> 6 months,Okinawa Praise,2.0,1.0,1.0,,1.0,
Commuting,> 6 months,Okinawa Praise,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,Okinawa Praise,5.0,4.0,5.0,,5.0,
Commuting,> 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Okinawa Praise,4.0,1.0,,4.0,,1.0
Commuting,> 6 months,Okinawa Praise,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,3.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,3.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,1.0,1.0,1.0,,3.0,
Commuting,<= 6 months,Okinawa Praise,1.0,1.0,1.0,,2.0,
Leisure,> 6 months,Okinawa Praise,1.0,1.0,1.0,,2.0,
Leisure,> 6 months,Okinawa Praise,5.0,5.0,5.0,,4.0,
Commuting,> 6 months,Okinawa Praise,5.0,3.0,2.0,,1.0,
Commuting,<= 6 months,Okinawa Praise,1.0,1.0,1.0,,,
Commuting,> 6 months,Okinawa Praise,1.0,1.0,1.0,,2.0,
Commuting,> 6 months,Okinawa Praise,2.0,1.0,1.0,,3.0,
Commuting,<= 6 months,Okinawa Praise,4.0,3.0,2.0,,4.0,
Commuting,<= 6 months,Okinawa Praise,1.0,1.0,1.0,,3.0,
Commuting,> 6 months,Okinawa Praise,5.0,1.0,1.0,,1.0,
Commuting,> 6 months,Okinawa Praise,5.0,4.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,2.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,1.0,1.0,1.0,,3.0,
Commuting,Never owned,Okinawa Praise,5.0,5.0,,5.0,,4.0
Commuting,<= 6 months,Okinawa Praise,4.0,3.0,,4.0,,4.0
Leisure,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Okinawa Praise,5.0,2.0,,4.0,,4.0
Commuting,> 6 months,Okinawa Praise,4.0,1.0,,3.0,,1.0
Leisure,Never owned,Okinawa Praise,4.0,3.0,,2.0,,4.0
Leisure,> 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Okinawa Praise,4.0,5.0,,2.0,,2.0
Commuting,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Leisure,Never owned,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,Never owned,Okinawa Praise,4.0,4.0,,4.0,,4.0
Commuting,<= 6 months,Okinawa Praise,4.0,5.0,,4.0,,4.0
Commuting,> 6 months,Okinawa Praise,5.0,5.0,,5.0,,4.0
Commuting,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Leisure,Never owned,Okinawa Praise,4.0,3.0,,5.0,,5.0
Commuting,Never owned,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Leisure,Never owned,Okinawa Praise,5.0,5.0,,5.0,,4.0
Commuting,<= 6 months,Okinawa Praise,4.0,2.0,,3.0,,3.0
Commuting,Never owned,Okinawa Praise,5.0,5.0,,5.0,,4.0
Commuting,Never owned,Okinawa Praise,5.0,4.0,,3.0,,4.0
Leisure,> 6 months,Okinawa Praise,5.0,3.0,,4.0,,4.0
Leisure,> 6 months,Okinawa Praise,3.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,3.0,1.0,,2.0,,3.0
Commuting,> 6 months,Okinawa Praise,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Okinawa Praise,2.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Praise,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Okinawa Praise,3.0,2.0,,2.0,,3.0
Leisure,Never owned,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,Never owned,Okinawa Praise,5.0,4.0,,4.0,,4.0
Commuting,<= 6 months,Okinawa Praise,5.0,1.0,,3.0,,3.0
Commuting,<= 6 months,Okinawa Praise,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Okinawa Praise,4.0,3.0,,1.0,,3.0
Leisure,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Okinawa Praise,1.0,2.0,,3.0,,1.0
Commuting,<= 6 months,Okinawa Praise,2.0,1.0,,1.0,,1.0
Leisure,> 6 months,Okinawa Praise,4.0,2.0,2.0,,3.0,
Commuting,> 6 months,Okinawa Praise,3.0,1.0,2.0,,1.0,
Commuting,> 6 months,Okinawa Praise,2.0,1.0,5.0,,1.0,
Leisure,> 6 months,Okinawa Praise,1.0,1.0,1.0,,1.0,
Commuting,<= 6 months,Okinawa Praise,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Okinawa Praise,1.0,1.0,,2.0,,1.0
Commuting,<= 6 months,Okinawa Praise,3.0,1.0,4.0,,1.0,
Commuting,> 6 months,Okinawa Praise,3.0,3.0,1.0,,1.0,
Commuting,Never owned,Okinawa Praise,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Benling Aura,4.0,1.0,3.0,,5.0,
Commuting,> 6 months,Benling Aura,4.0,2.0,1.0,,1.0,
Leisure,> 6 months,Benling Aura,4.0,1.0,1.0,,2.0,
Commuting,> 6 months,Benling Aura,5.0,5.0,5.0,,4.0,
Commuting,> 6 months,Benling Aura,5.0,5.0,5.0,,4.0,
Leisure,<= 6 months,Benling Aura,5.0,5.0,4.0,,4.0,
Leisure,<= 6 months,Benling Aura,3.0,2.0,1.0,,3.0,
Commuting,<= 6 months,Benling Aura,4.0,1.0,1.0,,1.0,
Commuting,<= 6 months,Benling Aura,4.0,4.0,,,,
Commuting,> 6 months,Benling Aura,3.0,1.0,,1.0,,1.0
Commuting,Never owned,Benling Aura,3.0,3.0,2.0,,2.0,
Commuting,Never owned,Benling Aura,4.0,5.0,4.0,,5.0,
Leisure,<= 6 months,Benling Aura,5.0,5.0,3.0,,4.0,
Commuting,> 6 months,Benling Aura,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,Benling Aura,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Benling Aura,3.0,2.0,2.0,,4.0,
Commuting,<= 6 months,Benling Aura,3.0,3.0,,3.0,,2.0
Commuting,<= 6 months,Benling Aura,1.0,1.0,1.0,,4.0,
Commuting,> 6 months,Benling Aura,3.0,4.0,4.0,,1.0,
Commuting,<= 6 months,Ampere Magnus Pro,4.0,3.0,4.0,,4.0,
Commuting,> 6 months,Ampere Magnus Pro,1.0,4.0,1.0,,4.0,
Leisure,> 6 months,Ampere Magnus Pro,1.0,1.0,1.0,,2.0,
Leisure,> 6 months,Ampere Magnus Pro,1.0,1.0,1.0,,1.0,
Commuting,<= 6 months,Ampere Magnus Pro,5.0,4.0,5.0,,4.0,
Commuting,<= 6 months,Ampere Magnus Pro,5.0,5.0,5.0,,5.0,
Commuting,> 6 months,Ampere Magnus Pro,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Ampere Magnus Pro,5.0,5.0,5.0,,5.0,
Commuting,Never owned,Ampere Magnus Pro,4.0,4.0,,4.0,,4.0
Commuting,<= 6 months,Ampere Magnus Pro,5.0,5.0,4.0,,4.0,
Commuting,<= 6 months,Ampere Magnus Pro,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Ampere Magnus Pro,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,Ampere Magnus Pro,5.0,5.0,3.0,,,
Leisure,> 6 months,Ampere Magnus Pro,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,Ampere Magnus Pro,3.0,2.0,1.0,,4.0,
Commuting,> 6 months,Ampere Magnus Pro,2.0,4.0,2.0,,5.0,
Commuting,<= 6 months,PURE EV EPluto 7G,1.0,1.0,2.0,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,2.0,2.0,2.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,4.0,3.0,,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,4.0,4.0,3.0,,5.0,
Leisure,<= 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,3.0,
Commuting,<= 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,1.0,
Leisure,<= 6 months,PURE EV EPluto 7G,4.0,3.0,1.0,,,
Commuting,Never owned,PURE EV EPluto 7G,5.0,5.0,5.0,,5.0,
Leisure,> 6 months,PURE EV EPluto 7G,5.0,5.0,4.0,,5.0,
Commuting,<= 6 months,PURE EV EPluto 7G,5.0,1.0,1.0,,4.0,
Leisure,Never owned,PURE EV EPluto 7G,5.0,5.0,5.0,,2.0,
Commuting,<= 6 months,PURE EV EPluto 7G,3.0,1.0,1.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,4.0,3.0,,,2.0,
Commuting,<= 6 months,PURE EV EPluto 7G,5.0,5.0,4.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,5.0,5.0,5.0,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,PURE EV EPluto 7G,4.0,4.0,5.0,,5.0,
Commuting,<= 6 months,PURE EV EPluto 7G,5.0,5.0,5.0,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,5.0,5.0,4.0,,5.0,
Leisure,<= 6 months,PURE EV EPluto 7G,4.0,4.0,,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,5.0,5.0,4.0,,5.0,
Leisure,> 6 months,PURE EV EPluto 7G,5.0,5.0,4.0,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,3.0,2.0,1.0,,3.0,
Commuting,> 6 months,PURE EV EPluto 7G,3.0,1.0,2.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,PURE EV EPluto 7G,3.0,3.0,1.0,,4.0,
Commuting,<= 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,3.0,
Commuting,> 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,2.0,
Commuting,> 6 months,PURE EV EPluto 7G,5.0,5.0,5.0,,4.0,
Leisure,> 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,2.0,
Commuting,<= 6 months,PURE EV EPluto 7G,4.0,4.0,4.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,1.0,
Commuting,<= 6 months,PURE EV EPluto 7G,3.0,2.0,,,,
Commuting,> 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,PURE EV EPluto 7G,3.0,3.0,3.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,1.0,1.0,1.0,,,
Commuting,> 6 months,PURE EV EPluto 7G,5.0,5.0,5.0,,4.0,
Commuting,Never owned,PURE EV EPluto 7G,4.0,3.0,3.0,,4.0,
Commuting,> 6 months,PURE EV EPluto 7G,3.0,2.0,2.0,,1.0,
Commuting,<= 6 months,PURE EV EPluto 7G,2.0,2.0,2.0,,4.0,
Commuting,<= 6 months,Ampere REO,2.0,1.0,,3.0,,1.0
Commuting,> 6 months,Ampere REO,4.0,3.0,,3.0,,4.0
Leisure,<= 6 months,Ampere REO,1.0,2.0,,2.0,,3.0
Commuting,> 6 months,Ampere REO,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Ampere REO,4.0,3.0,,2.0,,2.0
Commuting,> 6 months,Ampere REO,4.0,3.0,,4.0,,4.0
Commuting,> 6 months,Ampere REO,4.0,4.0,,3.0,,4.0
Commuting,<= 6 months,Ampere REO,4.0,4.0,,4.0,,3.0
Commuting,> 6 months,Ampere REO,1.0,1.0,1.0,,1.0,
Commuting,> 6 months,Ampere REO,3.0,2.0,,3.0,,1.0
Commuting,> 6 months,Ampere REO,3.0,3.0,,3.0,,4.0
Commuting,<= 6 months,Ampere REO,4.0,4.0,,3.0,,4.0
Commuting,<= 6 months,Ampere REO,4.0,3.0,,3.0,,3.0
Commuting,> 6 months,Ampere REO,4.0,5.0,,5.0,,5.0
Commuting,> 6 months,Ampere REO,5.0,5.0,,5.0,,5.0
Leisure,Never owned,Ampere REO,4.0,3.0,,5.0,,5.0
Commuting,> 6 months,Ampere REO,4.0,2.0,,3.0,,1.0
Commuting,> 6 months,Ampere REO,2.0,2.0,,1.0,,2.0
Commuting,> 6 months,Ampere REO,2.0,1.0,,2.0,,
Commuting,<= 6 months,Ampere REO,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Ampere REO,2.0,1.0,,1.0,,1.0
Leisure,> 6 months,Odysse Evoqis,5.0,5.0,,5.0,,
Commuting,Never owned,Odysse Evoqis,5.0,5.0,,5.0,,
Leisure,<= 6 months,Odysse Evoqis,5.0,4.0,,5.0,,
Commuting,<= 6 months,Okinawa i-Praise,4.0,4.0,,5.0,,
Commuting,<= 6 months,Okinawa i-Praise,5.0,4.0,,4.0,,
Commuting,<= 6 months,Okinawa i-Praise,5.0,3.0,,4.0,,
Commuting,<= 6 months,Okinawa i-Praise,4.0,2.0,,2.0,,
Commuting,<= 6 months,Okinawa i-Praise,5.0,1.0,,4.0,,
Commuting,> 6 months,Okinawa i-Praise,5.0,5.0,,5.0,,
Commuting,> 6 months,Okinawa i-Praise,5.0,4.0,,5.0,,
Leisure,Never owned,Okinawa i-Praise,5.0,5.0,,5.0,,
Leisure,Never owned,Okinawa i-Praise,5.0,5.0,,5.0,,
Commuting,Never owned,Okinawa i-Praise,4.0,2.0,,4.0,,
Commuting,<= 6 months,Okinawa i-Praise,1.0,1.0,,1.0,,
Commuting,> 6 months,Joy e-bike Monster,4.0,4.0,,4.0,,4.0
Commuting,> 6 months,Joy e-bike Monster,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,PURE EV ETrance Neo,4.0,3.0,2.0,,,
Commuting,<= 6 months,PURE EV ETrance Neo,3.0,3.0,3.0,,,
Commuting,> 6 months,PURE EV ETrance Neo,5.0,3.0,,3.0,,3.0
Commuting,<= 6 months,PURE EV ETrance Neo,1.0,1.0,1.0,,4.0,
Leisure,<= 6 months,PURE EV ETrance Neo,5.0,4.0,4.0,,4.0,
Commuting,<= 6 months,PURE EV ETrance Neo,5.0,5.0,2.0,,4.0,
Commuting,<= 6 months,PURE EV ETrance Neo,2.0,2.0,1.0,,4.0,
Commuting,<= 6 months,PURE EV ETrance Neo,5.0,4.0,5.0,,4.0,
Leisure,<= 6 months,PURE EV ETrance Neo,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,PURE EV ETrance Neo,4.0,3.0,,2.0,,4.0
Commuting,<= 6 months,PURE EV ETrance Neo,4.0,5.0,,,5.0,
Commuting,Never owned,PURE EV ETrance Neo,4.0,4.0,3.0,,5.0,
Commuting,<= 6 months,PURE EV ETrance Neo,5.0,4.0,3.0,,4.0,
Commuting,<= 6 months,PURE EV ETrance Neo,3.0,3.0,,4.0,,5.0
Commuting,<= 6 months,PURE EV ETrance Neo,5.0,4.0,,4.0,,4.0
Commuting,> 6 months,PURE EV ETrance Neo,3.0,2.0,,3.0,,3.0
Leisure,<= 6 months,Evolet Polo,5.0,5.0,,5.0,,4.0
Commuting,> 6 months,Evolet Polo,5.0,4.0,,4.0,,4.0
Commuting,<= 6 months,Okinawa Ridge Plus,4.0,4.0,,4.0,,5.0
Commuting,<= 6 months,Okinawa Ridge Plus,5.0,1.0,,3.0,,1.0
Leisure,Never owned,Okinawa Ridge Plus,3.0,2.0,,,,
Commuting,> 6 months,Okinawa Ridge Plus,3.0,3.0,,3.0,,4.0
Commuting,> 6 months,Okinawa Ridge Plus,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Okinawa Ridge Plus,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,Okinawa Ridge Plus,3.0,3.0,,2.0,,3.0
Commuting,<= 6 months,Okinawa Ridge Plus,5.0,4.0,,5.0,,4.0
Commuting,<= 6 months,Okinawa Ridge Plus,4.0,3.0,,4.0,,3.0
Commuting,<= 6 months,Okinawa Ridge Plus,5.0,3.0,,4.0,,4.0
Commuting,> 6 months,Okinawa Ridge Plus,4.0,2.0,4.0,,4.0,
Commuting,> 6 months,Okinawa Ridge Plus,2.0,2.0,2.0,,2.0,
Commuting,<= 6 months,Ampere Zeal,5.0,5.0,,3.0,,4.0
Commuting,<= 6 months,Ampere Zeal,4.0,4.0,2.0,,4.0,
Commuting,> 6 months,Ampere Zeal,3.0,1.0,2.0,,1.0,
Commuting,> 6 months,Ampere Zeal,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Ampere Zeal,5.0,5.0,4.0,,4.0,
Leisure,<= 6 months,Ampere Zeal,3.0,2.0,4.0,,3.0,
Commuting,> 6 months,Ampere Zeal,3.0,1.0,,1.0,,1.0
Leisure,> 6 months,Ampere Zeal,2.0,1.0,,1.0,,1.0
Commuting,> 6 months,Ampere Zeal,4.0,2.0,2.0,,4.0,
Commuting,<= 6 months,Hero Electric Atria,4.0,4.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Atria,3.0,3.0,,4.0,,4.0
Commuting,<= 6 months,Hero Electric Atria,5.0,4.0,4.0,,3.0,
Commuting,<= 6 months,Okinawa Lite,5.0,5.0,,5.0,,
Commuting,<= 6 months,Okinawa Lite,3.0,2.0,,3.0,,4.0
Commuting,<= 6 months,Okinawa Lite,4.0,3.0,,5.0,,5.0
Commuting,> 6 months,Okinawa Lite,3.0,1.0,,3.0,,1.0
Commuting,> 6 months,Okinawa Lite,5.0,5.0,,,,
Commuting,> 6 months,Okinawa Lite,5.0,1.0,,,3.0,
Commuting,> 6 months,Hero Electric NYX,4.0,4.0,,5.0,,4.0
Commuting,Never owned,Hero Electric NYX,3.0,3.0,,4.0,,2.0
Commuting,<= 6 months,Hero Electric NYX,3.0,1.0,,1.0,,1.0
Commuting,> 6 months,Hero Electric NYX,5.0,1.0,,2.0,,1.0
Commuting,> 6 months,Hero Electric NYX,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Hero Electric NYX,3.0,1.0,,3.0,,2.0
Commuting,> 6 months,Hero Electric NYX,4.0,4.0,4.0,,5.0,
Commuting,> 6 months,Hero Electric NYX,5.0,5.0,5.0,,4.0,
Commuting,<= 6 months,Okinawa R30,3.0,4.0,,4.0,,4.0
Commuting,<= 6 months,Okinawa R30,4.0,4.0,,3.0,,1.0
Commuting,> 6 months,Okinawa R30,4.0,4.0,,4.0,,5.0
Leisure,<= 6 months,Okinawa R30,4.0,4.0,,5.0,,4.0
Commuting,> 6 months,Okinawa R30,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Okinawa R30,4.0,1.0,,,,
Commuting,<= 6 months,Yo Drift,5.0,5.0,,4.0,,5.0
Commuting,<= 6 months,Yo Drift,1.0,1.0,,1.0,,1.0
Leisure,<= 6 months,Yo Drift,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Yo Drift,4.0,3.0,,4.0,,4.0
Commuting,> 6 months,Yo Drift,3.0,2.0,,3.0,,3.0
Commuting,<= 6 months,BGauss B8,1.0,1.0,1.0,,2.0,
Commuting,> 6 months,Joy e-bike Wolf,3.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Joy e-bike Wolf,5.0,5.0,,4.0,,4.0
Commuting,> 6 months,Joy e-bike Wolf,3.0,1.0,,1.0,,2.0
Commuting,> 6 months,Joy e-bike Wolf,5.0,2.0,2.0,,2.0,
Commuting,<= 6 months,Joy e-bike Wolf,2.0,1.0,,2.0,,1.0
Leisure,<= 6 months,Gemopai Astrid Lite,4.0,5.0,5.0,,4.0,
Commuting,<= 6 months,Gemopai Astrid Lite,5.0,4.0,4.0,,5.0,
Commuting,> 6 months,Gemopai Astrid Lite,5.0,4.0,5.0,,4.0,
Commuting,> 6 months,Techo Electra Emerge,3.0,4.0,,4.0,,4.0
Commuting,> 6 months,Techo Electra Emerge,2.0,1.0,,2.0,,1.0
Commuting,> 6 months,Techo Electra Emerge,1.0,1.0,,2.0,,1.0
Commuting,> 6 months,Techo Electra Emerge,5.0,5.0,,4.0,,5.0
Commuting,> 6 months,Techo Electra Emerge,4.0,5.0,4.0,,4.0,
Commuting,<= 6 months,Techo Electra Emerge,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Techo Electra Emerge,1.0,1.0,1.0,,1.0,
Commuting,<= 6 months,Techo Electra Raptor,4.0,4.0,,4.0,,4.0
Commuting,> 6 months,Techo Electra Raptor,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Techo Electra Raptor,3.0,1.0,,2.0,,1.0
Commuting,> 6 months,Techo Electra Raptor,5.0,4.0,,4.0,,4.0
Commuting,> 6 months,Techo Electra Raptor,3.0,1.0,,1.0,,2.0
Commuting,> 6 months,Techo Electra Raptor,4.0,1.0,,3.0,,1.0
Commuting,> 6 months,Techo Electra Raptor,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Techo Electra Raptor,5.0,3.0,,3.0,,4.0
Commuting,> 6 months,e-bike Gen Nxt,3.0,1.0,,1.0,,1.0
Commuting,<= 6 months,e-bike Gen Nxt,5.0,5.0,,4.0,,4.0
Commuting,<= 6 months,e-bike Gen Nxt,3.0,5.0,,4.0,,1.0
Commuting,> 6 months,Gemopai Ryder,2.0,2.0,,2.0,,3.0
Leisure,<= 6 months,Gemopai Ryder,5.0,5.0,5.0,,5.0,
Commuting,> 6 months,Gemopai Ryder,2.0,2.0,3.0,,1.0,
Commuting,<= 6 months,Gemopai Ryder,4.0,4.0,,4.0,,5.0
Commuting,<= 6 months,Gemopai Ryder,3.0,4.0,,4.0,,4.0
